RANK_POOL_PSEUDONAME	RANK_POOL	BU_TEAM_LEVEL	DATA_TYPE	RANK_POOL_VISIBILITY_FLAG
	BCBU_BLUE BASE_PSR_Without_Over	BCBU_BLUE BASE_PSR	LEADERBOARD	1
	BCBU_BLUE BASE_RSD	BCBU_BLUE BASE_RSD	LEADERBOARD	1
	BCBU_BLUE BASE_DM	BCBU_BLUE BASE_DM	LEADERBOARD	1
	BCBU_WHITE BASE_DM	BCBU_WHITE BASE_DM	LEADERBOARD	1
	BCBU_BLUE OVER_PSR	BCBU_BLUE OVER_PSR	LEADERBOARD	1
	BCBU_WHITE BASE_RSD	BCBU_WHITE BASE_RSD	LEADERBOARD	1
	BCBU_BLUE BASE_PSR_With_Over	BCBU_BLUE BASE_PSR	LEADERBOARD	1
	BCBU_RED BASE_RSD	BCBU_RED BASE_RSD	LEADERBOARD	1
	BCBU_RED BASE_DM	BCBU_RED BASE_DM	LEADERBOARD	1
	BCBU_RED KAM_SD	BCBU_RED KAM_SD	LEADERBOARD	1
	BCBU_RED KAM_KAM	BCBU_RED KAM_KAM	LEADERBOARD	1
	BCBU_RED BASE_PSR	BCBU_RED BASE_PSR	LEADERBOARD	1
	BCBU_WHITE BASE_PSR	BCBU_WHITE BASE_PSR	LEADERBOARD	1
	BCBU_RED OVER_PSR	BCBU_RED OVER_PSR	LEADERBOARD	1
	CA_PR_PSR	CA_PR SF 3_PSR	LEADERBOARD	1
	CA_PR_PSR	CA_PR SF 6 INV_PSR	LEADERBOARD	1
	CA_PR_PSR	CA_PR SF 2_PSR	LEADERBOARD	1
	CA_PR_PSR	CA_PR SF 5_PSR	LEADERBOARD	1
	CA_PR_PSR	CA_PR SF 1_PSR	LEADERBOARD	1
	CA_PR_PSR	CA_PR SF 7 INV_PSR	LEADERBOARD	1
	CA_PR_PSR	CA_PR SF 8 INV_PSR	LEADERBOARD	1
	CA_PR_PSR	CA_PR SF 4_PSR	LEADERBOARD	1
	INBU_INBU PEAK SF_DM	INBU_INBU PEAK SF_DM	LEADERBOARD	1
	INBU_INBU ZENITH SF_CAM	INBU_INBU ZENITH SF_CAM	LEADERBOARD	1
	INBU_OTEZLA RD SF_DSM	INBU_OTEZLA RD SF_DSM	LEADERBOARD	1
	INBU_INBU APEX SF_RSD	INBU_INBU APEX SF_RSD	LEADERBOARD	1
	INBU_INBU PINNACLE SF_PSR	INBU_INBU PINNACLE SF_PSR	LEADERBOARD	1
	INBU_INBU APEX SF_PSR	INBU_INBU APEX SF_PSR	LEADERBOARD	1
	INBU_INBU APEX SF_DM	INBU_INBU APEX SF_DM	LEADERBOARD	1
	INBU_INBU SUMMIT SF_PSR	INBU_INBU SUMMIT SF_PSR	LEADERBOARD	1
	INBU_INBU PEAK SF_PSR	INBU_INBU PEAK SF_PSR	LEADERBOARD	1
	INBU_OTEZLA RD SF_RBD	INBU_OTEZLA RD SF_RBD	LEADERBOARD	1
	INBU_OTEZLA DERM SF_PSR	INBU_OTEZLA DERM SF_PSR	LEADERBOARD	1
	INBU_OTEZLA RHEUM SF_PSR	INBU_OTEZLA RHEUM SF_PSR	LEADERBOARD	1
	NUBU_NEUROLOGY SF_DM	NUBU_NEUROLOGY SF_DM	LEADERBOARD	1
	NUBU_NEUROLOGY SF_PSR	NUBU_NEUROLOGY SF_PSR	LEADERBOARD	1
	NUBU_NEUROLOGY SF_RSD	NUBU_NEUROLOGY SF_RSD	LEADERBOARD	1
	OBU_HEM LEUK SF_PSR	OBU_HEM LEUK SF_PSR	LEADERBOARD	1
	OBU_ONC OPAL KAM_OKAM	OBU_ONC OPAL KAM_OKAM	LEADERBOARD	1
